"صـ","سـ","المطلع","اسم الشاعر","سبب التصنيف","عدد الاَبيات","البحر","الروي","images"
"280","3","رَضِينا به قَسْمًا اِذا كان قِسْمَنا * عليٌّ واَبناءُ النبيِّ محمَّد","النجاشي الحارثي","في جواب اَهل الكوفة بنصرة اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>","6","الطويل","د",
"285","11","اَيُّها الناسُ اَتَتْكم جِلَّةٌ * ذَاك عَمَّارٌ وقَيسٌ والحَسَنْ","اَبو الهيثم التيهان","في بعث اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>رسله اِلى الكوفة","14","الرمل","ن",
"287","4","اَتَوني وقالوا يا خُوَيْلِدُ لا تُرَعْ * فقُلتُ - واَنكرتُ الوُجُوهَ - هُمٗ هُمٗ"," اَبو ذؤيب (اَبو موسَى الاَشعري متمثلا)","في تمثيل عدم معية اَبي موسى الاَشعري مع طلحة والزبير","1","الطويل","م",
"297","2","اِنَّ الذي ساءَ عَمَّارًا سَيُفْرِجُه * عنه عليٌّ بِما يَرضاه عَمَّارٗ","خزيمة بن ثابت","في تبشير اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>عمار بن ياسر بشهادته في صفين","6","البسيط","ر",
"299","8","قُل للزُّبَيرِ وقُل لِطَلحةَ اِنَّنَا * نحنُ الذينَ شِعارُنا الاَنصارٗ","اَبو الهيثم التيهان","في عتاب عبد الله بن العباس طلحة وطمعه في الملك مع خوفه الشديد من اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup> ","7","الكامل","ر",
"299","16","اَبا حَسَنٍ اَيقَضْتَ مَن كان نائِما * وما كُلُّ مَن يُدعٰى اِلى الحقِّ يَسْمَعٗ","ابن اُساف الاَنصاري","في عتاب عبد الله بن العباس طلحة وطمعه في الملك مع خوفه الشديد من اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup> ","16","الطويل","ع",
"300","14","مَا تَنقمُونَ مِنَ الوَصِيِّ واَنْتُمٗ * بايَعتُمُوه وِلَمْ يَدِنْ بِضَلَالٖ","عبد الرحمن بن حنبل الليثي","في عتاب عبد الله بن العباس طلحة وطمعه في الملك مع خوفه الشديد من اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup> ","7","الكامل","ل",
"307","7","اَمَّا الزُّبَيرُ فَعَلَّه ولَعَلَّه * والمرءُ طلحةُ ليس فيه مَطْمَعٗ","خزيمة بن ثابت","في وصف اَمير المؤمنين <sup>ع</sup><sup> </sup><sup>م</sup><sup> </sup>حال طلحة والزبير ","6","الكامل","ع",
"308","12","لَمْ اَرَ كاليومِ اَخا حِرَان * اَعْظَمَ مِن مُكَفِّر الاَيْمانٖ<br>بِالعِتْقِ في معصيَةِ الرَّحْمٰنٖ","عبد الرحمن بن سلمان","في عتق الزبير غلامَه مكحولا كفارةً ليمينه","3","الرجز","ن",
"308","15","اَعْتَقَ مَكْحُولًا لِصَوْنِ دِينِهْ * كَفَّارَةً يَزعُم عن يَمِيْنِهْ<br>والكُفْرُ مَكتوبٌ على جَبِيْنِهْ","عبد الرحمن بن سلمان","في عتق الزبير غلامَه مكحولاكفارةً ليمينه","3","الرجز","ن",
